iter	Passed	Remaining
803	5408	1318
804	5414	1311
805	5420	1304
806	5426	1297
807	5434	1291
808	5441	1284
809	5449	1278
810	5454	1271
811	5463	1264
812	5470	1258
813	5477	1251
814	5483	1244
815	5489	1237
816	5495	1230
817	5502	1224
818	5509	1217
819	5516	1210
820	5524	1204
821	5531	1197
822	5537	1191
823	5544	1184
824	5550	1177
825	5556	1170
826	5562	1163
827	5567	1156
828	5574	1149
829	5580	1142
830	5587	1136
831	5593	1129
832	5599	1122
833	5607	1116
834	5615	1109
835	5621	1102
836	5628	1096
837	5633	1089
838	5640	1082
839	5647	1075
840	5654	1068
841	5660	1062
842	5667	1055
843	5674	1048
844	5680	1042
845	5689	1035
846	5695	1028
847	5700	1021
848	5708	1015
849	5713	1008
850	5720	1001
851	5726	994
852	5731	987
853	5737	980
854	5743	974
855	5752	967
856	5757	960
857	5762	953
858	5770	947
859	5776	940
860	5783	933
861	5789	926
862	5796	920
863	5803	913
864	5809	906
865	5814	899
866	5819	892
867	5825	885
868	5831	879
869	5836	872
870	5841	865
871	5849	858
872	5856	851
873	5861	845
874	5869	838
875	5874	831
876	5881	824
877	5887	818
878	5892	811
879	5899	804
880	5904	797
881	5910	790
882	5917	784
883	5922	777
884	5929	770
885	5934	763
886	5940	756
887	5947	750
888	5952	743
889	5957	736
890	5964	729
891	5969	722
892	5976	716
893	5984	709
894	5989	702
895	5997	696
896	6002	689
897	6009	682
898	6015	675
899	6023	669
900	6030	662
901	6036	655
902	6044	649
903	6050	642
904	6056	635
905	6062	629
906	6068	622
907	6076	615
908	6081	608
909	6087	602
910	6093	595
911	6098	588
912	6104	581
913	6111	575
914	6118	568
915	6125	561
916	6131	554
917	6137	548
918	6145	541
919	6150	534
920	6157	528
921	6164	521
922	6170	514
923	6178	508
924	6185	501
925	6192	494
926	6199	488
927	6205	481
928	6210	474
929	6215	467
930	6222	461
931	6228	454
932	6233	447
933	6241	441
934	6247	434
935	6257	427
936	6264	421
937	6272	414
938	6278	407
939	6284	401
940	6290	394
941	6297	387
942	6303	381
943	6310	374
944	6314	367
945	6322	360
946	6328	354
947	6335	347
948	6341	340
949	6348	334
950	6355	327
951	6363	320
952	6370	314
953	6376	307
954	6384	300
955	6391	294
956	6397	287
957	6404	280
958	6411	274
959	6420	267
960	6426	260
961	6435	254
962	6441	247
963	6448	240
964	6453	234
965	6458	227
966	6466	220
967	6471	213
968	6478	207
969	6485	200
970	6491	193
971	6497	187
972	6503	180
973	6510	173
974	6517	167
975	6524	160
976	6531	153
977	6537	147
978	6545	140
979	6551	133
980	6559	127
981	6566	120
982	6572	113
983	6580	106
984	6585	100
985	6592	93
986	6598	86
987	6603	80
988	6610	73
989	6615	66
990	6621	60
991	6628	53
992	6633	46
993	6641	40
994	6647	33
995	6652	26
996	6658	20
997	6664	13
998	6668	6
999	6676	0
